Észlelés dátuma;"Reggeli hozam";"Vízállás ma reggel"
2026-01-01;47;
2026-01-02;48;
2026-01-03;47;
2026-01-04;51;
2026-01-05;49;346
2026-01-06;47;346
2026-01-07;47;346
2026-01-08;45;346
2026-01-09;48;345
2026-01-10;50;344
2026-01-11;50;
2026-01-12;54;344
2026-01-13;65;344
2026-01-14;61;344
2026-01-15;54;344
2026-01-16;58;344
2026-01-17;62;344
2026-01-18;66;344
2026-01-19;65;344
2026-01-20;60;344
2026-01-21;53;344
2026-01-22;49;344
2026-01-23;48;344
2026-01-24;53;344
2026-01-25;54;344
2026-01-26;58;345
2026-01-27;61;351
2026-01-28;83;357
2026-01-29;152;377
2026-01-30;245;417
2026-01-31;291;
2026-02-01;284;
2026-02-02;256;433
2026-02-03;211;410
2026-02-04;179;394
2026-02-05;156;382
2026-02-06;141;378
2026-02-07;144;
2026-02-08;159;
2026-02-09;175;389
2026-02-10;192;397
2026-02-11;197;400
2026-02-12;191;
2026-02-13;194;407
2026-02-14;217;
2026-02-15;248;
2026-02-16;246;426
2026-02-17;232;419
2026-02-18;215;410
2026-02-19;195;400
2026-02-20;178;388
2026-02-21;164;
2026-02-22;153;
2026-02-23;140;375
2026-02-24;141;375
2026-02-25;152;380
2026-02-26;189;395
2026-02-27;221;412
2026-02-28;220;412
2026-03-01;202;404
2026-03-02;176;392
2026-03-03;157;385
2026-03-04;148;385
2026-03-05;139;387
2026-03-06;135;391
2026-03-07;134;396
2026-03-08;136;403
2026-03-09;141;411
2026-03-10;139;415
2026-03-11;141;420
2026-03-12;143;426
2026-03-13;144;431
2026-03-14;149;436
2026-03-15;152;443
2026-03-16;157;448
2026-03-17;161;455
2026-03-18;164;461
2026-03-19;164;462
2026-03-20;165;463
2026-03-21;165;465
2026-03-22;168;468
2026-03-23;166;468
2026-03-24;164;467
2026-03-25;162;464
2026-03-26;159;464
2026-03-27;164;471
2026-03-28;153;459
2026-03-29;155;461
2026-03-30;158;463
2026-03-31;163;467
2026-04-01;164;468
2026-04-02;168;468
2026-04-03;169;468
2026-04-04;172;467
2026-04-05;172;469
2026-04-06;170;469
2026-04-07;170;468
2026-04-08;164;467
2026-04-09;163;464
2026-04-10;160;463
2026-04-11;158;461
2026-04-12;159;463
2026-04-13;160;465
2026-04-14;161;465
2026-04-15;158;463
2026-04-16;154;462
2026-04-17;153;462
2026-04-18;153;463
2026-04-19;153;462
2026-04-20;153;463
2026-04-21;155;465
2026-04-22;154;464
2026-04-23;154;463
2026-04-24;156;464
2026-04-25;156;464
2026-04-26;155;464
2026-04-27;155;464
2026-04-28;153;464
2026-04-29;151;464
2026-04-30;150;463
2026-05-01;146;459
2026-05-02;146;459
2026-05-03;147;459
2026-05-04;147;459
2026-05-05;146;459
2026-05-06;146;459
2026-05-07;147;461
2026-05-08;148;463
2026-05-09;149;465
2026-05-10;153;467
2026-05-11;154;468
2026-05-12;155;468
2026-05-13;157;468
2026-05-14;159;468
2026-05-15;161;468
2026-05-16;160;468
2026-05-17;163;469
2026-05-18;160;465
2026-05-19;158;464
2026-05-20;156;465
2026-05-21;154;466
2026-05-22;155;467
2026-05-23;153;466
2026-05-24;151;464
2026-05-25;149;463
2026-05-26;148;462
2026-05-27;146;461
2026-05-28;145;461
2026-05-29;144;460
2026-05-30;143;459
2026-05-31;142;459
2026-06-01;141;458
2026-06-02;143;459
2026-06-03;143;459
2026-06-04;145;460
2026-06-05;150;464
2026-06-06;155;468
2026-06-07;158;471
2026-06-08;158;473
2026-06-09;155;471
2026-06-10;154;470
2026-06-11;157;472
2026-06-12;157;473
2026-06-13;160;473